# System Information
# OS                       : Linux
# OS Version               : #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2
# Architecture             : x86_64
# Python Version           : 3.10.12
# Processor                : x86_64
# Node Name                : large_payload_rtt
# Start Time               : 2024-10-02 15:48:41
#
# Computed Statistics
# Total Packets Sent       : 11
# Packets Received         : 2
# Packets Lost             : 9
# Packet Loss Percentage   : 81.82%
# Average RTT              : 1.58669669 s
# Median RTT               : 1.58669669 s
# RTT Range                : 0.21327611 s
# Standard Deviation of RTT: 0.10663806 s
# Variance of RTT          : 0.01137168 s
# Packets Under Threshold  : 0
# Packets Over Threshold   : 2
# Threshold RTT            : 0.02 s
# Test Duration            : 0:00:02
#
# Run latency_plotter.py to compute statistics
#
message_id,send_time,receive_time,rtt,status
0,2854.206700377,2855.686759008,1.4800586310002473,received
1,2854.456303643,2856.149638387,1.6933347439999125,received
2,2854.706012125,,,lost
3,2854.956049778,,,lost
4,2855.204260428,,,lost
5,2855.454207184,,,lost
6,2855.706256411,,,lost
7,2855.954268526,,,lost
8,2856.206348353,,,lost
9,2856.454269716,,,lost
10,2856.704220651,,,lost
