# System Information
# OS                       : Linux
# OS Version               : #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2
# Architecture             : x86_64
# Python Version           : 3.10.12
# Processor                : x86_64
# Node Name                : simple_string_rtt
# Start Time               : 2024-10-02 15:35:16
#
# Computed Statistics
# Total Packets Sent       : 1000
# Packets Received         : 1000
# Packets Lost             : 0
# Packet Loss Percentage   : 0.00%
# Average RTT              : 0.08835565 s
# Median RTT               : 0.06370573 s
# RTT Range                : 0.86539410 s
# Standard Deviation of RTT: 0.08327751 s
# Variance of RTT          : 0.00693514 s
# Packets Under Threshold  : 19
# Packets Over Threshold   : 981
# Threshold RTT            : 0.02 s
# Test Duration            : 0:04:09
#
# Run latency_plotter.py to compute statistics
#
message_id,send_time,receive_time,rtt,status
0,2048.848554225,2048.876791879,0.028237653999894974,received
1,2049.098479643,2049.635539266,0.5370596230000046,received
2,2049.348422745,2049.656659597,0.30823685199993633,received
3,2049.598472811,2049.702514579,0.1040417679996608,received
4,2049.848579651,2049.879818329,0.031238678000136133,received
5,2050.098589491,2050.213453368,0.11486387700006162,received
6,2050.348586828,2050.379662048,0.031075219999820547,received
7,2050.598591725,2050.725742693,0.12715096800002357,received
8,2050.848590022,2050.879321148,0.03073112600031891,received
9,2051.098470227,2051.225303528,0.1268333010002607,received
10,2051.348468894,2051.379735657,0.031266763000076025,received
11,2051.598469349,2051.64254602,0.044076670999857015,received
12,2051.848471163,2051.948792924,0.10032176100003198,received
13,2052.098468097,2052.156330956,0.057862859000124445,received
14,2052.348471027,2052.462647257,0.11417622999988453,received
15,2052.598520009,2052.62719219,0.028672181000274577,received
16,2052.848578641,2052.977159977,0.12858133600002475,received
17,2053.098527348,2053.127083907,0.02855655899975318,received
18,2053.34832238,2053.489570888,0.14124850799998967,received
19,2053.598527441,2053.630775346,0.03224790500007657,received
20,2053.848523445,2053.892631939,0.04410849399982908,received
21,2054.098512154,2054.209273929,0.11076177499990081,received
22,2054.348514397,2054.379907909,0.03139351199979501,received
23,2054.598511281,2054.711650764,0.11313948299994081,received
24,2054.848268932,2054.879276767,0.03100783500030957,received
25,2055.098516673,2055.226204056,0.12768738299973847,received
26,2055.348432905,2055.378806891,0.03037398599963126,received
27,2055.59842724,2055.641234945,0.04280770500008657,received
28,2055.848439577,2055.95016742,0.10172784299993509,received
29,2056.098415916,2056.252098583,0.15368266700033928,received
30,2056.348431249,2056.377907209,0.02947596000012709,received
31,2056.598494499,2056.670292163,0.07179766399985965,received
32,2056.848450273,2056.961534755,0.11308448199997656,received
33,2057.09862534,2057.441173138,0.3425477979999414,received
34,2057.348648245,2057.614313845,0.265665600000375,received
35,2057.598509229,2057.624330962,0.02582173300015711,received
36,2057.848601934,2057.888686609,0.04008467500034385,received
37,2058.098479623,2058.197766152,0.09928652899998269,received
38,2058.348470773,2058.405950236,0.05747946300016338,received
39,2058.598462043,2058.658557279,0.060095236000051955,received
40,2058.848452623,2058.918030585,0.0695779620000394,received
41,2059.098476944,2059.22837422,0.12989727600006518,received
42,2059.348469636,2059.379355367,0.03088573099967107,received
43,2059.598595466,2059.738204633,0.13960916699988957,received
44,2059.848586458,2059.891742108,0.0431556499997896,received
45,2060.098662958,2060.138245678,0.03958271999999852,received
46,2060.348604818,2060.447700403,0.09909558500021376,received
47,2060.598591465,2060.65593185,0.05734038499986127,received
48,2060.848475244,2060.961679154,0.11320391000026575,received
49,2061.098472126,2061.12567892,0.02720679399999426,received
50,2061.348472261,2061.477335229,0.1288629679997939,received
51,2061.598471008,2061.648477574,0.050006565999865416,received
52,2061.84849214,2061.990749845,0.14225770500024737,received
53,2062.098420037,2062.124676706,0.0262566690003041,received
54,2062.348594984,2062.391884104,0.04328911999982665,received
55,2062.598549319,2062.711081006,0.11253168699977323,received
56,2062.848593114,2062.879150667,0.030557553000107873,received
57,2063.098574913,2063.209512243,0.11093733000006978,received
58,2063.348523628,2063.378529926,0.03000629799998933,received
59,2063.59847214,2063.629578821,0.031106680999982927,received
60,2063.848477847,2063.930093841,0.08161599400000341,received
61,2064.098465244,2064.239241827,0.14077658299993345,received
62,2064.348527964,2064.375110897,0.02658293300009973,received
63,2064.598511198,2064.679420373,0.08090917500021533,received
64,2064.848549726,2064.919464588,0.07091486200033614,received
65,2065.098529145,2065.244846738,0.1463175929998215,received
66,2065.348535077,2065.530567107,0.1820320299998457,received
67,2065.598431089,2065.665184395,0.06675330600000962,received
68,2065.848465484,2066.103133301,0.2546678170001542,received
69,2066.098822369,2066.371135024,0.2723126549999506,received
70,2066.348595323,2066.502501962,0.15390663900006984,received
71,2066.59859083,2066.88451326,0.2859224300000278,received
72,2066.848650458,2066.907466543,0.0588160849997621,received
73,2067.098602208,2067.396831159,0.29822895100005553,received
