# System Information
# OS                       : Linux
# OS Version               : #40~22.04.3-Ubuntu SMP PREEMPT_DYNAMIC Tue Jul 30 17:30:19 UTC 2
# Architecture             : x86_64
# Python Version           : 3.10.12
# Processor                : x86_64
# Node Name                : simple_string_rtt
# Start Time               : 2024-09-18 09:03:13
#
# Computed Statistics
# Total Packets Sent       : 1000
# Packets Received         : 1000
# Packets Lost             : 0
# Packet Loss Percentage   : 0.00%
# Average RTT              : 0.00149945 s
# Median RTT               : 0.00133963 s
# RTT Range                : 0.01043641 s
# Standard Deviation of RTT: 0.00077992 s
# Variance of RTT          : 0.00000061 s
# Packets Under Threshold  : 1000
# Packets Over Threshold   : 0
# Threshold RTT            : 0.02 s
# Test Duration            : 0:04:09
#
# Run latency_plotter.py to compute statistics
#
message_id,send_time,receive_time,rtt,status
0,1139.598075969,1139.600429712,0.0023537429999578308,received
1,1139.848034766,1139.849520279,0.0014855130000341887,received
2,1140.097976471,1140.1005096,0.0025331289998575812,received
3,1140.348106954,1140.351201373,0.0030944190000354865,received
4,1140.598112002,1140.599274836,0.0011628339998424053,received
5,1140.848140983,1140.849351595,0.0012106120000225928,received
6,1141.097823762,1141.100999281,0.0031755190000239963,received
7,1141.348031265,1141.348917203,0.0008859380000103556,received
8,1141.598135845,1141.599445732,0.001309887000161325,received
9,1141.848204342,1141.849479184,0.0012748420001571503,received
10,1142.097995392,1142.099059784,0.0010643919999893114,received
11,1142.348040267,1142.349141611,0.0011013440000624541,received
12,1142.598143097,1142.599279097,0.0011359999998603598,received
13,1142.84802174,1142.848989196,0.0009674560001258214,received
14,1143.098175904,1143.099452071,0.0012761670000145386,received
15,1143.3481367,1143.349439171,0.0013024710001445783,received
16,1143.598124594,1143.599358629,0.0012340350001522893,received
17,1143.847975328,1143.848942158,0.000966829999924812,received
18,1144.098111158,1144.099348328,0.0012371699999675911,received
19,1144.348076693,1144.349071597,0.0009949039999810338,received
20,1144.598216458,1144.603797977,0.0055815190000885195,received
21,1144.847972724,1144.848958618,0.0009858939999958238,received
22,1145.098098427,1145.102370037,0.00427160999993248,received
23,1145.348061623,1145.349079878,0.0010182550001900381,received
24,1145.59792417,1145.598794946,0.0008707760000561393,received
25,1145.848078768,1145.84929046,0.0012116919999698439,received
26,1146.097991543,1146.099043917,0.001052373999982592,received
27,1146.348054681,1146.348973529,0.0009188480000830168,received
28,1146.597905617,1146.599172416,0.0012667990001773433,received
29,1146.848042719,1146.849023794,0.0009810750000269763,received
30,1147.098199026,1147.099659427,0.0014604010000311973,received
31,1147.34847101,1147.349608759,0.0011377490000086254,received
32,1147.600880893,1147.602853197,0.001972303999991709,received
33,1147.847959501,1147.848913872,0.0009543709998069971,received
34,1148.098032883,1148.099263973,0.001231089999919277,received
35,1148.347964012,1148.348826452,0.0008624399999916932,received
36,1148.598141865,1148.599580302,0.001438437000160775,received
37,1148.848205149,1148.849385389,0.0011802399999396584,received
38,1149.09806279,1149.099252234,0.0011894439999196038,received
39,1149.348142945,1149.349434724,0.0012917789999846718,received
40,1149.598178965,1149.599614396,0.0014354310001181148,received
41,1149.848176169,1149.849586136,0.001409966999972312,received
42,1150.097919981,1150.098810445,0.0008904640001219377,received
43,1150.348243242,1150.349757368,0.0015141259998472378,received
44,1150.597942299,1150.598981505,0.0010392060000867787,received
45,1150.847985475,1150.848916886,0.0009314110000104847,received
46,1151.098075375,1151.099452106,0.0013767309999366262,received
47,1151.34818066,1151.34943094,0.0012502800000220304,received
48,1151.598141383,1151.599432644,0.0012912610000057612,received
49,1151.848103589,1151.849257256,0.0011536670001532912,received
50,1152.09804745,1152.100345282,0.002297832000067501,received
51,1152.34795905,1152.348856008,0.0008969579998847621,received
52,1152.598043165,1152.599124949,0.0010817840000072465,received
53,1152.848217476,1152.849639122,0.001421646000153487,received
54,1153.097998183,1153.101370328,0.003372144999957527,received
55,1153.348128066,1153.349270475,0.0011424089998399722,received
