# System Information
# OS                       : Linux
# OS Version               : #40~22.04.3-Ubuntu SMP PREEMPT_DYNAMIC Tue Jul 30 17:30:19 UTC 2
# Architecture             : x86_64
# Python Version           : 3.10.12
# Processor                : x86_64
# Node Name                : increasing_payload_rtt
# Start Time               : 2024-09-18 10:29:05
#
# Computed Statistics
# Total Packets Sent       : 1000
# Packets Received         : 1000
# Packets Lost             : 0
# Packet Loss Percentage   : 0.00%
# Average RTT              : 0.01056406 s
# Median RTT               : 0.00789912 s
# RTT Range                : 0.03648212 s
# Standard Deviation of RTT: 0.00759772 s
# Variance of RTT          : 0.00005773 s
# Packets Under Threshold  : 874
# Packets Over Threshold   : 126
# Threshold RTT            : 0.02 s
# Test Duration            : 0:04:09
#
# Run latency_plotter.py to compute statistics
#
message_id,send_time,receive_time,rtt,status
0,6291.331328963,6291.332367259,0.00103829600084282,received
1,6291.581328248,6291.584029775,0.002701526999771886,received
2,6291.831307589,6291.833067849,0.0017602600000827806,received
3,6292.081362401,6292.082700588,0.0013381870003286167,received
4,6292.331427299,6292.33420471,0.0027774110003520036,received
5,6292.581351947,6292.58236451,0.0010125629996764474,received
6,6292.831371757,6292.833933801,0.002562044000114838,received
7,6293.081313804,6293.083198725,0.0018849210000553285,received
8,6293.331414114,6293.333154284,0.0017401699997208198,received
9,6293.581302932,6293.582771534,0.0014686020003864542,received
10,6293.831325323,6293.833324759,0.0019994360000055167,received
11,6294.081296023,6294.084180206,0.0028841830007877434,received
12,6294.331408673,6294.332750288,0.0013416150004559313,received
13,6294.581326387,6294.582058096,0.0007317089994103299,received
14,6294.831310247,6294.834193944,0.002883696999560925,received
15,6295.081346564,6295.083089069,0.0017425050000383635,received
16,6295.331326623,6295.333156874,0.0018302510006833472,received
17,6295.581312984,6295.582420711,0.0011077270000896533,received
18,6295.831307813,6295.83595057,0.004642756999601261,received
19,6296.081301439,6296.083741945,0.0024405060003118706,received
20,6296.331313476,6296.332243323,0.0009298469994973857,received
21,6296.581335392,6296.582624543,0.001289150999582489,received
22,6296.831350183,6296.833016196,0.0016660130004311213,received
23,6297.081329732,6297.08317542,0.0018456879997756914,received
24,6297.331336486,6297.333909458,0.0025729720000526868,received
25,6297.581343968,6297.583562514,0.002218546000221977,received
26,6297.831348363,6297.832749816,0.001401452999743924,received
27,6298.0813129,6298.082433477,0.00112057700061996,received
28,6298.331266725,6298.333037633,0.0017709079993437626,received
29,6298.581396344,6298.583462024,0.00206568000066909,received
30,6298.831291198,6298.834249308,0.0029581099997813,received
31,6299.081348131,6299.083578037,0.002229906000138726,received
32,6299.331277395,6299.333330197,0.0020528019995254,received
33,6299.581308117,6299.583261034,0.001952917000380694,received
34,6299.831321111,6299.833170015,0.0018489040003260016,received
35,6300.081355222,6300.082401198,0.0010459760005687713,received
36,6300.331395206,6300.333531735,0.0021365290003814152,received
37,6300.581274917,6300.583637408,0.0023624909999853116,received
38,6300.831325553,6300.837119729,0.005794175999653817,received
39,6301.081343833,6301.082360597,0.001016764000269177,received
40,6301.331354391,6301.332692548,0.001338156999736384,received
41,6301.581308127,6301.584223763,0.0029156360005799797,received
42,6301.831396884,6301.83458771,0.0031908259998090216,received
43,6302.081318795,6302.083886969,0.002568173999861756,received
44,6302.331307004,6302.33336664,0.002059636000012688,received
45,6302.581276765,6302.584305444,0.003028678999726253,received
46,6302.83135527,6302.833901455,0.002546185000028345,received
47,6303.081399372,6303.083642764,0.002243391999400046,received
48,6303.331324764,6303.332667097,0.0013423330001387512,received
49,6303.581272702,6303.583387697,0.002114994999828923,received
50,6303.83138757,6303.833441562,0.0020539920005830936,received
51,6304.081317714,6304.082724706,0.001406991999829188,received
52,6304.331398426,6304.333902451,0.0025040249993253383,received
53,6304.581320208,6304.582990563,0.0016703549999874667,received
54,6304.831311583,6304.833807542,0.002495959000043513,received
55,6305.081315339,6305.084339544,0.003024204999746871,received
56,6305.331408043,6305.333520017,0.0021119740003996412,received
57,6305.581406346,6305.584986976,0.0035806300002150238,received
58,6305.831354656,6305.835369235,0.004014578999885998,received
59,6306.081315931,6306.08316753,0.0018515989995648852,received
60,6306.331354812,6306.334118742,0.0027639299996735645,received
61,6306.581388197,6306.584089602,0.0027014050001525902,received
62,6306.83132308,6306.832982244,0.001659163999647717,received
63,6307.081369291,6307.083245443,0.0018761520004773047,received
64,6307.331361355,6307.332531272,0.0011699169999701553,received
65,6307.58130486,6307.582609089,0.0013042289992881706,received
66,6307.831357422,6307.838122461,0.006765039000129036,received
67,6308.081439437,6308.085608751,0.004169314000137092,received
68,6308.331379238,6308.334212979,0.002833740999449219,received
69,6308.581329184,6308.583983979,0.002654794999216392,received
70,6308.831318902,6308.834007825,0.0026889230002780096,received
71,6309.081356564,6309.084979967,0.0036234030003470252,received
72,6309.331320886,6309.334304325,0.002983438999763166,received
73,6309.58134178,6309.583536337,0.0021945569997114944,received
74,6309.831308904,6309.833353098,0.0020441939996089786,received
75,6310.081317208,6310.083776948,0.0024597400006314274,received
76,6310.331401203,6310.33426297,0.0028617670004678075,received
77,6310.581326548,6310.582920453,0.0015939049999360577,received
78,6310.831326206,6310.833599188,0.0022729820002496126,received
79,6311.08135565,6311.084301959,0.0029463090004355763,received
80,6311.331435405,6311.335159378,0.0037239729999782867,received
81,6311.581363599,6311.583072388,0.0017087890000766492,received
82,6311.831279567,6311.833344924,0.0020653569999922183,received
83,6312.081304722,6312.083612688,0.0023079660004441394,received
84,6312.331369285,6312.333944783,0.0025754980006240658,received
85,6312.581313032,6312.583862635,0.0025496029993519187,received
86,6312.831322002,6312.83392161,0.002599608000309672,received
87,6313.08132815,6313.083736999,0.002408848999948532,received
88,6313.331314635,6313.333200332,0.0018856970000342699,received
89,6313.581319167,6313.584308278,0.002989110999806144,received
90,6313.831387397,6313.833567687,0.0021802900000693626,received
91,6314.081316664,6314.083472896,0.0021562319998338353,received
92,6314.3313501,6314.333845766,0.0024956659999588737,received
93,6314.581284238,6314.583511102,0.0022268639995672856,received
94,6314.83130556,6314.834223682,0.0029181219997553853,received
95,6315.08132635,6315.084194659,0.002868308999495639,received
96,6315.331373691,6315.334570769,0.003197077999175235,received
97,6315.581324023,6315.58433779,0.0030137670000840444,received
98,6315.831330784,6315.834292241,0.0029614570003104745,received
99,6316.081323092,6316.082894102,0.001571009999679518,received
100,6316.331324821,6316.333629052,0.0023042310003802413,received
101,6316.581372252,6316.583533483,0.0021612310001728474,received
102,6316.831322791,6316.833688293,0.0023655019995203475,received
103,6317.081416132,6317.085128506,0.003712373999405827,received
104,6317.33132859,6317.333468162,0.0021395719995780382,received
105,6317.581342761,6317.584339453,0.0029966920001243125,received
106,6317.831331242,6317.834494997,0.0031637550000596093,received
107,6318.081332194,6318.084147488,0.0028152939994470216,received
108,6318.331404732,6318.333473801,0.0020690689998446032,received
109,6318.581342709,6318.583097446,0.0017547369998283102,received
110,6318.831399242,6318.83694997,0.005550728000343952,received
111,6319.081364534,6319.083331557,0.0019670229994517285,received
112,6319.331336386,6319.333336807,0.002000421000047936,received
113,6319.581278034,6319.583827091,0.0025490569996691193,received
114,6319.83135417,6319.834535424,0.003181254000082845,received
115,6320.081406449,6320.085971037,0.004564587999993819,received
116,6320.331397258,6320.334917493,0.003520234999996319,received
117,6320.581312112,6320.584445667,0.003133555000204069,received
118,6320.831450564,6320.833426144,0.0019755800003622426,received
119,6321.081398125,6321.08354843,0.0021503049993043533,received
120,6321.331375191,6321.333738472,0.0023632809998161974,received
121,6321.5813312,6321.583293119,0.001961918999768386,received
122,6321.83132893,6321.835787792,0.004458861999410146,received
123,6322.081320226,6322.083396716,0.0020764900000358466,received
124,6322.33133661,6322.333947248,0.0026106380000783247,received
125,6322.581357864,6322.584767556,0.0034096919998773956,received
126,6322.831384969,6322.83322837,0.0018434009998600231,received
127,6323.081333755,6323.085113559,0.003779804000259901,received
128,6323.331411386,6323.335991509,0.004580123000778258,received
129,6323.581365833,6323.583591155,0.0022253220004131435,received
130,6323.831284877,6323.832712005,0.0014271279997046804,received
131,6324.081337546,6324.088370742,0.007033195999611053,received
132,6324.331348534,6324.334383909,0.003035374999853957,received
133,6324.581314141,6324.584773025,0.0034588839998832555,received
134,6324.83133903,6324.83314673,0.0018077000004268484,received
135,6325.081425877,6325.08655121,0.005125333000250976,received
136,6325.331289428,6325.33470368,0.0034142519998567877,received
137,6325.581355134,6325.585797941,0.004442807000486937,received
138,6325.831395181,6325.834769684,0.003374503000486584,received
139,6326.081285169,6326.083788945,0.002503776000594371,received
140,6326.331321899,6326.336993962,0.005672063000019989,received
141,6326.581320104,6326.584708123,0.0033880190003401367,received
142,6326.831330465,6326.833012199,0.0016817340001580305,received
143,6327.08131945,6327.08721702,0.0058975700003429665,received
144,6327.331327998,6327.334033663,0.0027056649996666238,received
145,6327.581379072,6327.584649189,0.003270116999374295,received
146,6327.831276327,6327.834975236,0.0036989090003771707,received
147,6328.081391601,6328.084882768,0.0034911669999928563,received
148,6328.331389785,6328.334365091,0.0029753059998256504,received
149,6328.58127729,6328.585643416,0.004366125999695214,received
150,6328.831401071,6328.833998653,0.002597581999907561,received
151,6329.081350244,6329.084379032,0.0030287879999377765,received
152,6329.331316577,6329.336899973,0.00558339600047475,received
153,6329.581337394,6329.583983213,0.0026458189995537396,received
154,6329.831414013,6329.836134833,0.004720820000329695,received
155,6330.081279092,6330.084452191,0.003173099000377988,received
156,6330.331364697,6330.336548412,0.0051837150003848365,received
157,6330.58132,6330.58763006,0.006310060000032536,received
158,6330.831340478,6330.834098927,0.002758448999884422,received
159,6331.081389299,6331.085213364,0.003824065000117116,received
160,6331.331276114,6331.333199346,0.0019232320000810432,received
161,6331.581344461,6331.583825927,0.0024814660000629374,received
162,6331.831335835,6331.834394504,0.003058668999983638,received
163,6332.081350718,6332.08333407,0.0019833520000247518,received
164,6332.331334447,6332.33456689,0.003232443000342755,received
165,6332.581333958,6332.583731005,0.0023970470001586364,received
166,6332.831321301,6332.83800623,0.006684929000584816,received
167,6333.081381811,6333.084701042,0.0033192310002050363,received
168,6333.331352175,6333.333392162,0.002039986999989196,received
169,6333.58127863,6333.587572398,0.00629376799952297,received
170,6333.831325237,6333.833817835,0.0024925980005718884,received
171,6334.081332004,6334.084158174,0.002826169999934791,received
172,6334.331328983,6334.338081423,0.006752440000127535,received
173,6334.581326754,6334.583554641,0.0022278870001173345,received
174,6334.831339787,6334.834684278,0.0033444910004618578,received
175,6335.081450251,6335.087171556,0.005721304999497079,received
176,6335.331333631,6335.33404105,0.0027074190002167597,received
177,6335.581334896,6335.584814493,0.0034795969995684572,received
178,6335.831438206,6335.834975939,0.0035377330004848773,received
179,6336.081359982,6336.08352778,0.0021677979993910412,received
180,6336.331351903,6336.334886076,0.003534172999934526,received
181,6336.581386906,6336.58556545,0.004178543999842077,received
182,6336.831339173,6336.834946817,0.0036076440001124865,received
183,6337.081330116,6337.083572315,0.0022421990006478154,received
184,6337.331276604,6337.333252851,0.0019762470001296606,received
185,6337.581295203,6337.584429318,0.003134114999738813,received
186,6337.831422743,6337.838581333,0.007158589999562537,received
187,6338.081345193,6338.083629932,0.0022847390000606538,received
188,6338.331299273,6338.338299822,0.007000549000622414,received
189,6338.581447958,6338.586503093,0.00505513499956578,received
190,6338.831349672,6338.835513649,0.004163976999734587,received
191,6339.08140955,6339.086400558,0.0049910079997061985,received
192,6339.331449525,6339.335981342,0.00453181700049754,received
193,6339.581336335,6339.583343507,0.0020071720000487403,received
194,6339.831338088,6339.837490093,0.006152005000330973,received
195,6340.081364408,6340.084676635,0.003312226999696577,received
196,6340.331406945,6340.335035561,0.003628616000241891,received
197,6340.581329394,6340.583523938,0.002194544000303722,received
198,6340.831368969,6340.835470507,0.004101537999304128,received
