message_id,send_time,receive_time,rtt,status
0,33430.218141037,33430.221109138,0.002968100998259615,received
1,33431.218091548,33431.220828117,0.002736569003900513,received
2,33432.218017683,33432.219855029,0.0018373459970462136,received
3,33433.21819207,33433.221321552,0.0031294820000766777,received
4,33434.218265077,33434.221657323,0.003392246006114874,received
5,33435.21812014,33435.221027431,0.002907290996517986,received
6,33436.218301543,33436.221498737,0.0031971940043149516,received
7,33437.218110837,33437.220637471,0.002526634001696948,received
8,33438.218419597,33438.222900749,0.004481152005610056,received
9,33439.218276162,,,lost
10,33440.218129694,,,lost
11,33441.218271436,,,lost
12,33442.217962652,,,lost
13,33443.218276611,,,lost
14,33444.217964972,,,lost
