# System Information
# OS                       : Linux
# OS Version               : #40~22.04.3-Ubuntu SMP PREEMPT_DYNAMIC Tue Jul 30 17:30:19 UTC 2
# Architecture             : x86_64
# Python Version           : 3.10.12
# Processor                : x86_64
# Node Name                : simple_string_rtt
# Start Time               : 2024-09-17 15:50:20
#
# Computed Statistics
# Run latency_plotter.py to compute statistics
#
message_id,send_time,receive_time,rtt,status
0,13202.417694051,13202.418366039,0.0006719880002492573,received
1,13202.667973186,13202.675313487,0.007340300999203464,received
2,13202.918053268,13202.925380291,0.007327023000470945,received
3,13203.168104989,13203.175768925,0.007663936001335969,received
4,13203.417764832,13203.418866275,0.0011014430001523579,received
5,13203.668074343,13203.675901405,0.00782706199970562,received
6,13203.917920006,13203.923189082,0.005269075998512562,received
7,13204.168129211,13204.175225848,0.007096636998539907,received
8,13204.418077675,13204.422830554,0.004752879000079702,received
9,13204.668032606,13204.670860959,0.002828353000950301,received
10,13204.917972094,13204.920485299,0.0025132050013780827,received
11,13205.167775355,13205.168830155,0.00105480000092939,received
12,13205.4180803,13205.419951643,0.0018713429999479558,received
13,13205.667902486,13205.669720164,0.0018176779994973913,received
14,13205.917751255,13205.918331375,0.0005801200004498241,received
15,13206.16811394,13206.170132878,0.0020189379993098555,received
16,13206.417925974,13206.419839117,0.001913142999910633,received
17,13206.668071702,13206.669984282,0.0019125799990433734,received
18,13206.918108317,13206.924879881,0.006771563999791397,received
19,13207.167909949,13207.169359374,0.0014494250008283416,received
20,13207.417787802,13207.418876335,0.0010885329993470805,received
21,13207.667927853,13207.669855371,0.001927518000229611,received
22,13207.917896675,13207.919748009,0.0018513340000936296,received
23,13208.167841553,13208.16968217,0.0018406170001981081,received
24,13208.417919102,13208.424734194,0.006815092001488665,received
25,13208.667988387,13208.669921401,0.00193301400031487,received
26,13208.917941378,13208.919575223,0.0016338450004695915,received
27,13209.167765926,13209.168551649,0.000785722999353311,received
28,13209.418176338,13209.420320744,0.0021444060002977494,received
29,13209.667831431,13209.669385207,0.0015537760009465273,received
30,13209.917803524,13209.919425455,0.0016219310000451514,received
31,13210.168045375,13210.170034853,0.001989477999813971,received
32,13210.417983344,13210.420171568,0.0021882239998376463,received
33,13210.668141659,13210.670657025,0.002515366000807262,received
34,13210.917734796,13210.918699228,0.0009644319998187711,received
35,13211.167913079,13211.16956894,0.001655861000472214,received
36,13211.417790924,13211.418976509,0.0011855849988933187,received
37,13211.667781097,13211.669119862,0.0013387649996730033,received
38,13211.917990946,13211.919877084,0.0018861379994632443,received
39,13212.1681331,13212.170652513,0.0025194129993906245,received
