# System Information
# OS                       : Linux
# OS Version               : #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2
# Architecture             : x86_64
# Python Version           : 3.10.12
# Processor                : x86_64
# Node Name                : large_payload_rtt
# Start Time               : 2024-09-27 11:52:43
#
# Computed Statistics
# Total Packets Sent       : 115
# Packets Received         : 0
# Packets Lost             : 115
# Packet Loss Percentage   : 100.00%
# Average RTT              : N/A
# Median RTT               : N/A
# RTT Range                : N/A
# Standard Deviation of RTT: N/A
# Variance of RTT          : N/A
# Packets Under Threshold  : 0
# Packets Over Threshold   : 0
# Threshold RTT            : 0.02 s
# Test Duration            : 0:00:28
#
# Run latency_plotter.py to compute statistics
#
message_id,send_time,receive_time,rtt,status
0,4028.072942223,,,lost
1,4028.321818725,,,lost
2,4028.571960458,,,lost
3,4028.821814395,,,lost
4,4029.072092802,,,lost
5,4029.321899875,,,lost
6,4029.572035871,,,lost
7,4029.821705161,,,lost
8,4030.071960857,,,lost
9,4030.321762028,,,lost
10,4030.572049063,,,lost
11,4030.82169665,,,lost
12,4031.072139702,,,lost
13,4031.321798795,,,lost
14,4031.571968634,,,lost
15,4031.821647293,,,lost
16,4032.081301583,,,lost
17,4032.321840376,,,lost
18,4032.572045336,,,lost
19,4032.821714683,,,lost
20,4033.071567217,,,lost
21,4033.321865008,,,lost
22,4033.571516165,,,lost
23,4033.821713893,,,lost
24,4034.071945782,,,lost
25,4034.321851445,,,lost
26,4034.571955385,,,lost
27,4034.821709255,,,lost
28,4035.071715484,,,lost
29,4035.321670745,,,lost
30,4035.571931997,,,lost
31,4035.82162943,,,lost
32,4036.071887729,,,lost
33,4036.321669856,,,lost
34,4036.57194615,,,lost
35,4036.821782127,,,lost
36,4037.071954659,,,lost
37,4037.321782561,,,lost
38,4037.57204654,,,lost
39,4037.821667065,,,lost
40,4038.071983277,,,lost
41,4038.321738298,,,lost
42,4038.571882303,,,lost
43,4038.821867391,,,lost
44,4039.071856843,,,lost
45,4039.321978241,,,lost
46,4039.57215166,,,lost
47,4039.821880459,,,lost
48,4040.071752321,,,lost
49,4040.321662736,,,lost
50,4040.571725278,,,lost
51,4040.821780841,,,lost
52,4041.071934639,,,lost
53,4041.321724459,,,lost
54,4041.571666708,,,lost
55,4041.821653965,,,lost
56,4042.071677791,,,lost
57,4042.322046557,,,lost
58,4042.571983545,,,lost
59,4042.821974004,,,lost
60,4043.071884821,,,lost
61,4043.325179939,,,lost
62,4043.584610432,,,lost
63,4043.821851647,,,lost
64,4044.071860058,,,lost
65,4044.322091347,,,lost
66,4044.57205623,,,lost
67,4044.821961209,,,lost
68,4045.071993488,,,lost
69,4045.321894008,,,lost
70,4045.571997889,,,lost
71,4045.828897207,,,lost
72,4046.072043972,,,lost
73,4046.322055773,,,lost
74,4046.572057182,,,lost
75,4046.821896291,,,lost
76,4047.072210822,,,lost
77,4047.321961094,,,lost
78,4047.572050719,,,lost
79,4047.821918635,,,lost
80,4048.071926231,,,lost
81,4048.321979417,,,lost
82,4048.571919507,,,lost
83,4048.821843104,,,lost
84,4049.071944362,,,lost
85,4049.321970099,,,lost
86,4049.571716831,,,lost
87,4049.822312046,,,lost
88,4050.071906676,,,lost
89,4050.321978571,,,lost
90,4050.571813206,,,lost
91,4050.821936223,,,lost
92,4051.071840718,,,lost
93,4051.32544953,,,lost
94,4051.574933695,,,lost
95,4051.821891998,,,lost
96,4052.081572319,,,lost
97,4052.323180919,,,lost
98,4052.575069334,,,lost
99,4052.821881261,,,lost
100,4053.080458469,,,lost
101,4053.321837568,,,lost
102,4053.57170363,,,lost
103,4053.822196948,,,lost
104,4054.071622963,,,lost
105,4054.322100192,,,lost
106,4054.571827728,,,lost
107,4054.821932403,,,lost
108,4055.07172365,,,lost
109,4055.321813661,,,lost
110,4055.571825559,,,lost
111,4055.821743812,,,lost
112,4056.07185121,,,lost
113,4056.321868673,,,lost
114,4056.571706343,,,lost
