# System Information
# OS                       : Linux
# OS Version               : #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2
# Architecture             : x86_64
# Python Version           : 3.10.12
# Processor                : x86_64
# Node Name                : simple_string_rtt
# Start Time               : 2024-09-27 11:32:13
#
# Computed Statistics
# Total Packets Sent       : 1184
# Packets Received         : 816
# Packets Lost             : 368
# Packet Loss Percentage   : 31.08%
# Average RTT              : 0.27267607 s
# Median RTT               : 0.08319373 s
# RTT Range                : 20.56466391 s
# Standard Deviation of RTT: 1.29603049 s
# Variance of RTT          : 1.67969503 s
# Packets Under Threshold  : 12
# Packets Over Threshold   : 804
# Threshold RTT            : 0.02 s
# Test Duration            : 0:02:44
#
# Run latency_plotter.py to compute statistics
#
message_id,send_time,receive_time,rtt,status
0,2797.960099411,2798.095714139,0.13561472799983676,received
1,2798.210061864,2798.233071229,0.02300936499977979,received
2,2798.459995101,2798.695068432,0.23507333099996686,received
3,2798.710030458,2798.838534283,0.1285038250002799,received
4,2798.960043904,2798.987627106,0.027583202000187157,received
5,2799.209969399,2799.301849124,0.0918797250001262,received
6,2799.460066448,2799.513472591,0.05340614300030211,received
7,2799.709795599,2799.816821751,0.10702615200034415,received
8,2799.960043132,2799.993765624,0.03372249199992439,received
9,2800.209994113,2800.408099954,0.1981058410001424,received
10,2800.459995545,2800.542891947,0.08289640200018766,received
11,2800.709998094,2800.933484567,0.22348647299986624,received
12,2800.95999721,2801.022393462,0.06239625199987131,received
13,2801.210037987,2801.251858303,0.04182031600021219,received
14,2801.460041662,2801.553256466,0.0932148040001266,received
15,2801.709812763,2801.763498218,0.05368545500004984,received
16,2801.959979556,2802.065380699,0.10540114300010828,received
17,2802.210047271,2802.27662216,0.06657488900009412,received
18,2802.460044829,2802.679581804,0.21953697500021008,received
19,2802.71004303,2802.794133383,0.08409035299973766,received
20,2802.960054168,2803.191393123,0.2313389549999556,received
21,2803.210038972,2803.338434114,0.12839514200004487,received
22,2803.459998746,2803.483928587,0.02392984099969908,received
23,2803.709927904,2803.818477833,0.10854992900021898,received
24,2803.959875479,2803.982013875,0.02213839600017309,received
25,2804.210082684,2804.234514573,0.024431888999970397,received
26,2804.460039468,2804.523703573,0.06366410500004349,received
27,2804.710062286,2804.929279228,0.21921694200000275,received
28,2804.959971345,2805.023337974,0.06336662899957446,received
29,2805.210048037,2805.424673573,0.21462553599985768,received
30,2805.460036192,2805.480600127,0.020563934999699995,received
31,2805.709970797,2805.762024485,0.05205368799988719,received
32,2805.960059309,2806.064848772,0.10478946300008829,received
33,2806.21005515,2806.263747575,0.05369242500000837,received
34,2806.460037673,2806.678165362,0.2181276890000845,received
35,2806.710044767,2806.794994552,0.08494978499993522,received
36,2806.960061372,2807.177987934,0.21792656200022975,received
37,2807.210036857,2807.275145862,0.06510900500006755,received
38,2807.460054026,2807.692338472,0.2322844459999942,received
39,2807.709953747,2807.788118444,0.07816469699992012,received
40,2807.960050243,2808.010770404,0.05072016100029941,received
41,2808.210077556,2808.322593655,0.11251609900000403,received
42,2808.460053923,2808.49493509,0.03488116700009414,received
43,2808.710067458,2808.817997511,0.10793005300001823,received
44,2808.959979356,2808.981895405,0.02191604900008315,received
45,2809.210068014,2809.233453133,0.02338511899961304,received
