# System Information
# OS                       : Linux
# OS Version               : #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2
# Architecture             : x86_64
# Python Version           : 3.10.12
# Processor                : x86_64
# Node Name                : simple_string_rtt
# Start Time               : 2024-10-02 16:40:21
#
# Computed Statistics
# Run latency_plotter.py to compute statistics
#
# Computed Statistics
# Total Packets Sent            : 1000
# Packets Received              : 1000
# Packets Lost                  : 0
# Packet Loss Percentage        : 0.00%
# Average RTT                   : 0.0036871343850024873
# Median RTT                    : 0.0037207149998721
# RTT Range                     : 0.0017412519991922
# Standard Deviation of RTT     : 0.0003511400563939185
# Variance of RTT               : 1.2329933920432426e-07
# Packets Under Threshold       : 1000
# Packets Over Threshold        : 0
# % Under Threshold             : 100.00%
# % Over Threshold              : 0.00%
# Threshold RTT                    : 0.02 s
# Test Duration                   : 0:04:09
#
message_id,send_time,receive_time,rtt,status
0,5953.784791505,5953.788537492,0.003745987000002,received
1,5954.034539709,5954.037985334,0.003445625000495,received
2,5954.284580246,5954.287813539,0.0032332930004486,received
3,5954.534575774,5954.537814004,0.0032382300005338,received
4,5954.784425454,5954.787637213,0.0032117590008056,received
5,5955.034607896,5955.037797157,0.0031892609995338,received
6,5955.284508092,5955.28775379,0.0032456980006827,received
7,5955.534454485,5955.537782994,0.0033285089994024,received
8,5955.784507497,5955.787740182,0.0032326849996024,received
9,5956.034490659,5956.037718216,0.0032275570001729,received
10,5956.284482406,5956.287740796,0.0032583900001554,received
11,5956.534510756,5956.537760848,0.0032500920005986,received
12,5956.784551,5956.787881892,0.0033308920001218,received
13,5957.034491255,5957.037590864,0.0030996089999462,received
14,5957.284590629,5957.287820375,0.003229745999306,received
15,5957.534600382,5957.537820886,0.0032205040006374,received
16,5957.784425381,5957.787810451,0.0033850700001494,received
17,5958.034501378,5958.03772807,0.0032266920006804,received
18,5958.284600875,5958.287823808,0.0032229329999609,received
19,5958.534534688,5958.537785078,0.0032503899992661,received
20,5958.78454248,5958.787863612,0.0033211320005648,received
21,5959.034491105,5959.037856499,0.0033653939999567,received
22,5959.284539839,5959.287909943,0.0033701040001687,received
23,5959.534543049,5959.537843338,0.0033002890004354,received
24,5959.784553763,5959.788031146,0.003477383000245,received
25,5960.034607766,5960.037830057,0.0032222910003838,received
26,5960.284600813,5960.287830185,0.0032293719996232,received
27,5960.534610392,5960.537853942,0.0032435499997518,received
28,5960.784416334,5960.787651371,0.003235037000195,received
29,5961.034604954,5961.037824244,0.0032192899998335,received
30,5961.284506978,5961.28757503,0.0030680520003443,received
31,5961.534497553,5961.537499833,0.0030022800001461,received
