Linux 6.8.0-45-generic (adman-AORUS-15-BKF) 	09/10/24 	_x86_64_	(20 CPU)

20:20:36      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
20:20:37     1000    230969    5.00    2.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:20:38     1000    230969    4.00    3.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:20:39     1000    230969    5.00    3.00    0.00    0.00    8.00     8  godot.linuxbsd.
20:20:40     1000    230969    6.00    1.00    0.00    0.00    7.00     6  godot.linuxbsd.
20:20:41     1000    230969    4.00    2.00    0.00    0.00    6.00     6  godot.linuxbsd.
20:20:42     1000    230969    6.00    2.00    0.00    0.00    8.00     6  godot.linuxbsd.
20:20:43     1000    230969    5.00    1.00    0.00    0.00    6.00     6  godot.linuxbsd.
20:20:44     1000    230969    4.00    1.00    0.00    0.00    5.00    10  godot.linuxbsd.
20:20:45     1000    230969    6.00    2.00    0.00    0.00    8.00     8  godot.linuxbsd.
20:20:46     1000    230969    5.00    2.00    0.00    0.00    7.00     6  godot.linuxbsd.
20:20:47     1000    230969    6.00    1.00    0.00    0.00    7.00    13  godot.linuxbsd.
20:20:48     1000    230969    5.00    2.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:20:49     1000    230969    4.00    2.00    0.00    0.00    6.00    10  godot.linuxbsd.
20:20:50     1000    230969    6.00    3.00    0.00    0.00    9.00    10  godot.linuxbsd.
20:20:51     1000    230969    6.00    1.00    0.00    0.00    7.00    13  godot.linuxbsd.
20:20:52     1000    230969    5.00    2.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:20:53     1000    230969    5.00    0.00    0.00    0.00    5.00     4  godot.linuxbsd.
20:20:54     1000    230969    5.00    2.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:20:55     1000    230969    6.00    0.00    0.00    0.00    6.00    10  godot.linuxbsd.
20:20:56     1000    230969    5.00    2.00    0.00    0.00    7.00     8  godot.linuxbsd.
20:20:57     1000    230969    7.00    2.00    0.00    1.00    9.00     6  godot.linuxbsd.
20:20:58     1000    230969    6.00    2.00    0.00    0.00    8.00     4  godot.linuxbsd.
20:20:59     1000    230969    4.00    1.00    0.00    0.00    5.00     4  godot.linuxbsd.
20:21:00     1000    230969    5.00    2.00    0.00    0.00    7.00    15  godot.linuxbsd.
20:21:01     1000    230969    5.00    2.00    0.00    0.00    7.00     8  godot.linuxbsd.
20:21:02     1000    230969    6.00    2.00    0.00    0.00    8.00     4  godot.linuxbsd.
20:21:03     1000    230969    8.00    3.00    0.00    0.00   11.00     0  godot.linuxbsd.
20:21:04     1000    230969    6.00    1.00    0.00    0.00    7.00     0  godot.linuxbsd.
20:21:05     1000    230969    5.00    2.00    0.00    0.00    7.00     2  godot.linuxbsd.
20:21:06     1000    230969    4.00    2.00    0.00    0.00    6.00     2  godot.linuxbsd.
20:21:07     1000    230969    5.00    1.00    0.00    0.00    6.00    15  godot.linuxbsd.
20:21:08     1000    230969    6.00    2.00    0.00    0.00    8.00     4  godot.linuxbsd.
20:21:09     1000    230969    6.00    1.00    0.00    0.00    7.00     0  godot.linuxbsd.
20:21:10     1000    230969    4.00    1.00    0.00    0.00    5.00     0  godot.linuxbsd.
20:21:11     1000    230969    4.00    2.00    0.00    0.00    6.00     4  godot.linuxbsd.
20:21:12     1000    230969    9.00    1.00    0.00    0.00   10.00    15  godot.linuxbsd.
20:21:13     1000    230969    4.00    3.00    0.00    0.00    7.00     8  godot.linuxbsd.
20:21:14     1000    230969    5.00    2.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:21:15     1000    230969    4.00    2.00    0.00    0.00    6.00     4  godot.linuxbsd.
20:21:16     1000    230969    4.00    2.00    0.00    0.00    6.00     4  godot.linuxbsd.
20:21:17     1000    230969    5.00    2.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:21:18     1000    230969    5.00    3.00    0.00    0.00    8.00     8  godot.linuxbsd.
20:21:19     1000    230969    4.00    1.00    0.00    0.00    5.00     4  godot.linuxbsd.
20:21:20     1000    230969    6.00    4.00    0.00    0.00   10.00     4  godot.linuxbsd.
20:21:21     1000    230969    5.00    2.00    0.00    0.00    7.00     5  godot.linuxbsd.
20:21:22     1000    230969    5.00    3.00    0.00    0.00    8.00     5  godot.linuxbsd.
20:21:23     1000    230969    6.00    4.00    0.00    0.00   10.00     5  godot.linuxbsd.
20:21:24     1000    230969    6.00    4.00    0.00    0.00   10.00     5  godot.linuxbsd.
20:21:25     1000    230969    6.00    1.00    0.00    0.00    7.00     8  godot.linuxbsd.
20:21:26     1000    230969    6.00    2.00    0.00    0.00    8.00     8  godot.linuxbsd.
20:21:27     1000    230969    6.00    2.00    0.00    0.00    8.00    10  godot.linuxbsd.
20:21:28     1000    230969    5.00    3.00    0.00    0.00    8.00     6  godot.linuxbsd.
20:21:29     1000    230969    6.00    2.00    0.00    0.00    8.00     6  godot.linuxbsd.
20:21:30     1000    230969    7.00    1.00    0.00    0.00    8.00     6  godot.linuxbsd.
20:21:31     1000    230969    4.00    2.00    0.00    0.00    6.00     5  godot.linuxbsd.
20:21:32     1000    230969    6.00    2.00    0.00    0.00    8.00     4  godot.linuxbsd.
20:21:33     1000    230969    5.00    1.00    0.00    0.00    6.00     4  godot.linuxbsd.
20:21:34     1000    230969    5.00    2.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:21:35     1000    230969    4.00    1.00    0.00    0.00    5.00     4  godot.linuxbsd.
20:21:36     1000    230969    5.00    2.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:21:37     1000    230969    6.00    1.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:21:38     1000    230969    6.00    1.00    0.00    0.00    7.00    10  godot.linuxbsd.
20:21:39     1000    230969    5.00    2.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:21:40     1000    230969    7.00    1.00    0.00    0.00    8.00     4  godot.linuxbsd.
20:21:41     1000    230969    6.00    3.00    0.00    0.00    9.00    10  godot.linuxbsd.
20:21:42     1000    230969    4.00    2.00    0.00    0.00    6.00     4  godot.linuxbsd.
20:21:43     1000    230969    5.00    1.00    0.00    0.00    6.00     4  godot.linuxbsd.
20:21:44     1000    230969    6.00    1.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:21:45     1000    230969    4.00    2.00    0.00    0.00    6.00    18  godot.linuxbsd.
20:21:46     1000    230969    5.00    2.00    0.00    0.00    7.00    16  godot.linuxbsd.
20:21:47     1000    230969    6.00    3.00    0.00    0.00    9.00    16  godot.linuxbsd.
20:21:48     1000    230969    6.00    1.00    0.00    0.00    7.00     3  godot.linuxbsd.
20:21:49     1000    230969    5.00    1.00    0.00    0.00    6.00    10  godot.linuxbsd.
20:21:50     1000    230969    6.00    2.00    0.00    0.00    8.00     4  godot.linuxbsd.
20:21:51     1000    230969    6.00    4.00    0.00    0.00   10.00     2  godot.linuxbsd.
20:21:52     1000    230969    8.00    4.00    0.00    1.00   12.00     6  godot.linuxbsd.
20:21:53     1000    230969    6.00    1.00    0.00    0.00    7.00    16  godot.linuxbsd.
20:21:54     1000    230969    6.00    3.00    0.00    0.00    9.00     0  godot.linuxbsd.
20:21:55     1000    230969    4.00    2.00    0.00    0.00    6.00     0  godot.linuxbsd.
20:21:56     1000    230969    5.00    3.00    0.00    0.00    8.00     0  godot.linuxbsd.
20:21:57     1000    230969    7.00    3.00    0.00    0.00   10.00     6  godot.linuxbsd.
20:21:58     1000    230969    7.00    1.00    0.00    0.00    8.00     4  godot.linuxbsd.
20:21:59     1000    230969    5.00    2.00    0.00    0.00    7.00     4  godot.linuxbsd.
20:22:00     1000    230969    4.00    2.00    0.00    0.00    6.00    10  godot.linuxbsd.
