Environment,Test Type,Statistic,Average Value
LAPTOP-LAPTOP_GODOTROS,simple_string,Packet Loss Percentage,0.000000
LAPTOP-LAPTOP_GODOTROS,simple_string,Average RTT,0.017432
LAPTOP-LAPTOP_GODOTROS,simple_string,Median RTT,0.014070
LAPTOP-LAPTOP_GODOTROS,simple_string,Standard Deviation of RTT,0.006250
LAPTOP-LAPTOP_GODOTROS,simple_string,Variance of RTT,0.000039
LAPTOP-LAPTOP_GODOTROS,simple_string,% Under Threshold,67.900000
LAPTOP-LAPTOP_GODOTROS,simple_string,% Over Threshold,32.100000
LAPTOP-LAPTOP_GODOTROS,increasing_payload,Packet Loss Percentage,89.110000
LAPTOP-LAPTOP_GODOTROS,increasing_payload,Average RTT,0.019604
LAPTOP-LAPTOP_GODOTROS,increasing_payload,Median RTT,0.018321
LAPTOP-LAPTOP_GODOTROS,increasing_payload,Standard Deviation of RTT,0.004211
LAPTOP-LAPTOP_GODOTROS,increasing_payload,Variance of RTT,0.000018
LAPTOP-LAPTOP_GODOTROS,increasing_payload,% Under Threshold,8.503333
LAPTOP-LAPTOP_GODOTROS,increasing_payload,% Over Threshold,2.383333
HEADSET-TB3_GODOTROS,simple_string,Packet Loss Percentage,0.000000
HEADSET-TB3_GODOTROS,simple_string,Average RTT,0.093795
HEADSET-TB3_GODOTROS,simple_string,Median RTT,0.073295
HEADSET-TB3_GODOTROS,simple_string,Standard Deviation of RTT,0.069059
HEADSET-TB3_GODOTROS,simple_string,Variance of RTT,0.004771
HEADSET-TB3_GODOTROS,simple_string,% Under Threshold,2.933333
HEADSET-TB3_GODOTROS,simple_string,% Over Threshold,97.066667
HEADSET-TB3_GODOTROS,increasing_payload,Packet Loss Percentage,89.110000
HEADSET-TB3_GODOTROS,increasing_payload,Average RTT,0.071173
HEADSET-TB3_GODOTROS,increasing_payload,Median RTT,0.065156
HEADSET-TB3_GODOTROS,increasing_payload,Standard Deviation of RTT,0.030181
HEADSET-TB3_GODOTROS,increasing_payload,Variance of RTT,0.000912
HEADSET-TB3_GODOTROS,increasing_payload,% Under Threshold,0.016667
HEADSET-TB3_GODOTROS,increasing_payload,% Over Threshold,10.870000
LAPTOP-LAPTOP_ROS2UNITY,large_payload,Packet Loss Percentage,0.000000
LAPTOP-LAPTOP_ROS2UNITY,large_payload,Average RTT,0.016687
LAPTOP-LAPTOP_ROS2UNITY,large_payload,Median RTT,0.014904
LAPTOP-LAPTOP_ROS2UNITY,large_payload,Standard Deviation of RTT,0.006866
LAPTOP-LAPTOP_ROS2UNITY,large_payload,Variance of RTT,0.000047
LAPTOP-LAPTOP_ROS2UNITY,large_payload,% Under Threshold,63.066667
LAPTOP-LAPTOP_ROS2UNITY,large_payload,% Over Threshold,36.933333
LAPTOP-LAPTOP_ROS2UNITY,simple_string,Packet Loss Percentage,0.000000
LAPTOP-LAPTOP_ROS2UNITY,simple_string,Average RTT,0.001732
LAPTOP-LAPTOP_ROS2UNITY,simple_string,Median RTT,0.001672
LAPTOP-LAPTOP_ROS2UNITY,simple_string,Standard Deviation of RTT,0.001303
LAPTOP-LAPTOP_ROS2UNITY,simple_string,Variance of RTT,0.000002
LAPTOP-LAPTOP_ROS2UNITY,simple_string,% Under Threshold,99.900000
LAPTOP-LAPTOP_ROS2UNITY,simple_string,% Over Threshold,0.100000
LAPTOP-LAPTOP_ROS2UNITY,increasing_payload,Packet Loss Percentage,0.000000
LAPTOP-LAPTOP_ROS2UNITY,increasing_payload,Average RTT,0.010555
LAPTOP-LAPTOP_ROS2UNITY,increasing_payload,Median RTT,0.007816
LAPTOP-LAPTOP_ROS2UNITY,increasing_payload,Standard Deviation of RTT,0.007799
LAPTOP-LAPTOP_ROS2UNITY,increasing_payload,Variance of RTT,0.000061
LAPTOP-LAPTOP_ROS2UNITY,increasing_payload,% Under Threshold,87.400000
LAPTOP-LAPTOP_ROS2UNITY,increasing_payload,% Over Threshold,12.600000
HEADSET-LAPTOP_GODOTROS,simple_string,Packet Loss Percentage,0.000000
HEADSET-LAPTOP_GODOTROS,simple_string,Average RTT,0.091652
HEADSET-LAPTOP_GODOTROS,simple_string,Median RTT,0.070887
HEADSET-LAPTOP_GODOTROS,simple_string,Standard Deviation of RTT,0.069734
HEADSET-LAPTOP_GODOTROS,simple_string,Variance of RTT,0.004864
HEADSET-LAPTOP_GODOTROS,simple_string,% Under Threshold,4.800000
HEADSET-LAPTOP_GODOTROS,simple_string,% Over Threshold,95.200000
HEADSET-LAPTOP_GODOTROS,increasing_payload,Packet Loss Percentage,89.110000
HEADSET-LAPTOP_GODOTROS,increasing_payload,Average RTT,0.056246
HEADSET-LAPTOP_GODOTROS,increasing_payload,Median RTT,0.046899
HEADSET-LAPTOP_GODOTROS,increasing_payload,Standard Deviation of RTT,0.031289
HEADSET-LAPTOP_GODOTROS,increasing_payload,Variance of RTT,0.001025
HEADSET-LAPTOP_GODOTROS,increasing_payload,% Under Threshold,0.000000
