Linux 6.8.0-45-generic (adman-AORUS-15-BKF) 	09/10/24 	_x86_64_	(20 CPU)

20:27:34      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
20:27:35     1000    235441    8.00    8.00    0.00    0.00   16.00     2  UnrealEditor
20:27:36     1000    235441    8.00    7.00    0.00    0.00   15.00     8  UnrealEditor
20:27:37     1000    235441    9.90    4.95    0.00    0.00   14.85     7  UnrealEditor
20:27:38     1000    235441    8.00    5.00    0.00    0.00   13.00     8  UnrealEditor
20:27:39     1000    235441    8.00    7.00    0.00    0.00   15.00     5  UnrealEditor
20:27:40     1000    235441    9.00    6.00    0.00    0.00   15.00    13  UnrealEditor
20:27:41     1000    235441   78.00   45.00    0.00    0.00  123.00     9  UnrealEditor
20:27:42     1000    235441  182.00   26.00    0.00    0.00  208.00    11  UnrealEditor
20:27:43     1000    235441  207.00   21.00    0.00    1.00  228.00    10  UnrealEditor
20:27:44     1000    235441  207.00   18.00    0.00    1.00  225.00     8  UnrealEditor
20:27:45     1000    235441  218.00   17.00    0.00    0.00  235.00    12  UnrealEditor
20:27:46     1000    235441  228.00   17.00    0.00    1.00  245.00    15  UnrealEditor
20:27:47     1000    235441  227.00   16.00    0.00    0.00  243.00    10  UnrealEditor
20:27:48     1000    235441  235.00   17.00    0.00    1.00  252.00    13  UnrealEditor
20:27:49     1000    235441  230.00   16.00    0.00    1.00  246.00     1  UnrealEditor
20:27:50     1000    235441  234.00   16.00    0.00    0.00  250.00    12  UnrealEditor
20:27:51     1000    235441  231.00   17.00    0.00    1.00  248.00     0  UnrealEditor
20:27:52     1000    235441  227.00   20.00    0.00    0.00  247.00     6  UnrealEditor
20:27:53     1000    235441  218.00   16.00    0.00    1.00  234.00    10  UnrealEditor
20:27:54     1000    235441  213.00   16.00    0.00    0.00  229.00     1  UnrealEditor
20:27:55     1000    235441  192.00   23.00    0.00    1.00  215.00    15  UnrealEditor
20:27:56     1000    235441  223.00   17.00    0.00    0.00  240.00     1  UnrealEditor
20:27:57     1000    235441  208.00   16.00    0.00    0.00  224.00     7  UnrealEditor
20:27:58     1000    235441  202.00   16.00    0.00    1.00  218.00     2  UnrealEditor
20:27:59     1000    235441  217.00   17.00    0.00    1.00  234.00    13  UnrealEditor
20:28:00     1000    235441  205.00   17.00    0.00    0.00  222.00     4  UnrealEditor
20:28:01     1000    235441  204.00   18.00    0.00    0.00  222.00     1  UnrealEditor
20:28:02     1000    235441  201.00   19.00    0.00    1.00  220.00    10  UnrealEditor
20:28:03     1000    235441  212.00   18.00    0.00    1.00  230.00    11  UnrealEditor
20:28:04     1000    235441  218.00   19.00    0.00    0.00  237.00    11  UnrealEditor
20:28:05     1000    235441  191.00   17.00    0.00    1.00  208.00     6  UnrealEditor
