Linux 6.8.0-45-generic (adman-AORUS-15-BKF) 	09/10/24 	_x86_64_	(20 CPU)

20:15:16      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
20:15:17     1000    221677   11.00    4.00    0.00    1.00   15.00     4  Unity
20:15:18     1000    221677   13.00    2.00    0.00    0.00   15.00     6  Unity
20:15:19     1000    221677   22.00    4.00    0.00    0.00   26.00     4  Unity
20:15:20     1000    221677   14.00    3.00    0.00    0.00   17.00     4  Unity
20:15:21     1000    221677   13.00    3.00    0.00    0.00   16.00    14  Unity
20:15:22     1000    221677   14.00    4.00    0.00    0.00   18.00     2  Unity
20:15:23     1000    221677   13.00    4.00    0.00    0.00   17.00     5  Unity
20:15:24     1000    221677   11.00    2.00    0.00    0.00   13.00     5  Unity
20:15:25     1000    221677   20.00    4.00    0.00    1.00   24.00     4  Unity
20:15:26     1000    221677   11.00    4.00    0.00    0.00   15.00    10  Unity
20:15:27     1000    221677   11.00    3.00    0.00    0.00   14.00    14  Unity
20:15:28     1000    221677   12.00    3.00    0.00    0.00   15.00     4  Unity
20:15:29     1000    221677   13.00    5.00    0.00    0.00   18.00     4  Unity
20:15:30     1000    221677   15.00    4.00    0.00    0.00   19.00     8  Unity
20:15:31     1000    221677   13.00    4.00    0.00    0.00   17.00     0  Unity
20:15:32     1000    221677   12.00    4.00    0.00    1.00   16.00     4  Unity
20:15:33     1000    221677   12.00    3.00    0.00    0.00   15.00     5  Unity
20:15:34     1000    221677   14.00    4.00    0.00    0.00   18.00     5  Unity
20:15:35     1000    221677   10.00    3.00    0.00    0.00   13.00     5  Unity
20:15:36     1000    221677   13.00    2.00    0.00    0.00   15.00     0  Unity
20:15:37     1000    221677   11.00    3.00    0.00    0.00   14.00     5  Unity
20:15:38     1000    221677   10.00    3.00    0.00    0.00   13.00     5  Unity
20:15:39     1000    221677   14.00    4.00    0.00    0.00   18.00     4  Unity
20:15:40     1000    221677   12.00    4.00    0.00    0.00   16.00     4  Unity
20:15:41     1000    221677   12.00    4.00    0.00    0.00   16.00     4  Unity
20:15:42     1000    221677   13.00    4.00    0.00    0.00   17.00     4  Unity
20:15:43     1000    221677   13.00    3.00    0.00    0.00   16.00     4  Unity
20:15:44     1000    221677   13.00    4.00    0.00    1.00   17.00    10  Unity
20:15:45     1000    221677   18.00    5.00    0.00    0.00   23.00     4  Unity
20:15:46     1000    221677   10.00    2.00    0.00    0.00   12.00     4  Unity
20:15:47     1000    221677   12.00    3.00    0.00    0.00   15.00     0  Unity
20:15:48     1000    221677   14.00    5.00    0.00    0.00   19.00     6  Unity
20:15:49     1000    221677   14.00    3.00    0.00    0.00   17.00     0  Unity
20:15:50     1000    221677   19.00    5.00    0.00    1.00   24.00     6  Unity
20:15:51     1000    221677   14.00    3.00    0.00    0.00   17.00     4  Unity
20:15:52     1000    221677   14.00    4.00    0.00    0.00   18.00     0  Unity
20:15:53     1000    221677   19.00    5.00    0.00    1.00   24.00     4  Unity
20:15:54     1000    221677   20.00    4.00    0.00    0.00   24.00     0  Unity
20:15:55     1000    221677   12.00    3.00    0.00    0.00   15.00     0  Unity
20:15:56     1000    221677   10.00    3.00    0.00    0.00   13.00     4  Unity
20:15:57     1000    221677   13.00    2.00    0.00    0.00   15.00     4  Unity
20:15:58     1000    221677   11.00    4.00    0.00    0.00   15.00     8  Unity
20:15:59     1000    221677   12.00    4.00    0.00    0.00   16.00     4  Unity
20:16:00     1000    221677   19.00    4.00    0.00    1.00   23.00    13  Unity
20:16:01     1000    221677   13.00    4.00    0.00    0.00   17.00     4  Unity
20:16:02     1000    221677   13.00    4.00    0.00    0.00   17.00     7  Unity
20:16:03     1000    221677   17.00    4.00    0.00    1.00   21.00     0  Unity
20:16:04     1000    221677   16.00    3.00    0.00    0.00   19.00     6  Unity
