# System Information
# OS                       : Linux
# OS Version               : #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2
# Architecture             : x86_64
# Python Version           : 3.10.12
# Processor                : x86_64
# Node Name                : increasing_payload_rtt
# Start Time               : 2024-10-02 16:07:12
#
# Computed Statistics
# Total Packets Sent       : 620
# Packets Received         : 505
# Packets Lost             : 115
# Packet Loss Percentage   : 18.55%
# Average RTT              : 5.62590355 s
# Median RTT               : 0.35777796 s
# RTT Range                : 28.52687427 s
# Standard Deviation of RTT: 7.96221279 s
# Variance of RTT          : 63.39683257 s
# Packets Under Threshold  : 0
# Packets Over Threshold   : 505
# Threshold RTT            : 0.02 s
# Test Duration            : 0:02:34
#
# Run latency_plotter.py to compute statistics
#
message_id,send_time,receive_time,rtt,status
0,3965.164556616,3965.287514354,0.12295773799996823,received
1,3965.414555994,3965.439655563,0.025099569000303745,received
2,3965.664558192,3965.788674757,0.12411656499989476,received
3,3965.914553878,3965.939628696,0.025074818000121013,received
4,3966.164476816,3966.300875078,0.136398262000057,received
5,3966.414539051,3966.452262163,0.03772311200009426,received
6,3966.664554643,3966.704863203,0.04030856000008498,received
7,3966.914581193,3967.024995715,0.11041452200015556,received
8,3967.164561243,3967.191512074,0.02695083099979456,received
9,3967.414559584,3967.526664548,0.11210496400008196,received
10,3967.664573248,3967.710254209,0.045680961000016396,received
11,3967.914602028,3967.983373343,0.06877131500004907,received
12,3968.164483939,3968.206309883,0.04182594399981099,received
13,3968.414573558,3968.483879723,0.06930616499994358,received
14,3968.664490137,3968.705122458,0.04063232099997549,received
15,3968.914578928,3968.976053871,0.06147494300012113,received
16,3969.164493059,3969.250035979,0.0855429200000799,received
17,3969.41455168,3969.45837939,0.043827710000186926,received
18,3969.664552784,3969.689522133,0.024969349000002694,received
19,3969.914579578,3970.002993722,0.08841414400012582,received
20,3970.164584405,3970.288143045,0.12355864000028305,received
21,3970.414588766,3970.485353859,0.07076509299986355,received
22,3970.664587833,3970.733847638,0.0692598050000015,received
23,3970.914591634,3970.975861744,0.06127011000035054,received
24,3971.164658501,3971.207037057,0.04237855600013063,received
25,3971.414592922,3971.486324163,0.07173124100017958,received
26,3971.664653954,3971.712442853,0.047788898999897356,received
27,3971.914618262,3972.003747418,0.08912915599967164,received
28,3972.164645929,3972.206838941,0.04219301200009795,received
29,3972.414629494,3972.505983516,0.09135402199990494,received
30,3972.664567251,3972.721581903,0.05701465199990707,received
31,3972.914624727,3972.976222784,0.06159805700008292,received
32,3973.164559337,3973.225488945,0.06092960800015135,received
33,3973.41456975,3973.473232331,0.058662581000135106,received
34,3973.664643739,3973.708732465,0.044088726000154566,received
35,3973.914653736,3974.000217057,0.0855633209998814,received
36,3974.164679198,3974.309792481,0.14511328299977322,received
37,3974.41456336,3974.475800966,0.06123760599984962,received
38,3974.664464871,3974.712194456,0.047729585000070074,received
39,3974.914521147,3974.982586008,0.06806486100003895,received
40,3975.164586327,3975.227381698,0.06279537099999288,received
41,3975.414560159,3975.481436771,0.06687661200021466,received
42,3975.664646211,3975.723770706,0.05912449499965078,received
43,3975.91464589,3976.003402824,0.0887569340002301,received
44,3976.164582703,3976.225338984,0.0607562809996125,received
45,3976.414582948,3976.478302659,0.06371971099997609,received
46,3976.664635935,3976.739713321,0.07507738599997538,received
47,3976.914502964,3977.072648226,0.15814526200028922,received
48,3977.164588796,3977.227589724,0.06300092800029233,received
49,3977.414485258,3977.493543597,0.07905833900031212,received
50,3977.664567208,3977.796596763,0.1320295549999173,received
51,3977.914494446,3977.989097276,0.07460283000000345,received
52,3978.164505979,3978.228265996,0.063760017000277,received
53,3978.414503624,3978.478596147,0.06409252299999935,received
54,3978.664494628,3978.748740171,0.08424554300017917,received
55,3978.914507998,3979.023521868,0.10901387000012619,received
56,3979.164637696,3979.228360497,0.06372280099958516,received
57,3979.414558865,3979.542560505,0.12800164000009318,received
58,3979.664588759,3979.757650509,0.09306175000028816,received
59,3979.914692374,3979.990232047,0.0755396730000939,received
60,3980.164684713,3980.257176261,0.09249154799999815,received
61,3980.414639337,3980.497563878,0.08292454100001123,received
62,3980.664696851,3980.745562994,0.08086614300009387,received
63,3980.914632471,3980.996300094,0.08166762300015762,received
64,3981.164635443,3981.274299002,0.10966355900018243,received
65,3981.414640678,3981.493681986,0.07904130799988707,received
66,3981.664640142,3981.730959614,0.06631947200003196,received
67,3981.914591114,3982.01305103,0.09845991600013804,received
68,3982.164511982,3982.29133496,0.12682297799983644,received
69,3982.414589495,3982.495745752,0.08115625699974771,received
70,3982.664732486,3982.745377399,0.08064491300001464,received
71,3982.91466923,3982.994053456,0.07938422600000195,received
72,3983.164675464,3983.235376975,0.07070151099969735,received
73,3983.414669799,3983.522918877,0.10824907799997163,received
74,3983.664667239,3983.742842606,0.07817536699985794,received
75,3983.914734603,3984.059761378,0.14502677500013306,received
76,3984.164611081,3984.251281669,0.08667058799983351,received
77,3984.414656937,3984.566238982,0.151582044999941,received
78,3984.664648983,3984.753967259,0.08931827600008546,received
79,3984.914654685,3985.017522361,0.10286767599973246,received
80,3985.164654772,3985.273796253,0.10914148099982413,received
81,3985.414301304,3985.505380364,0.09107905999962895,received
82,3985.664661663,3985.764390308,0.09972864500014111,received
83,3985.914668158,3986.010962679,0.09629452099989066,received
84,3986.164583163,3986.278299182,0.11371601900009409,received
85,3986.414602599,3986.505917881,0.09131528200032335,received
86,3986.664572631,3986.775670791,0.11109815999998318,received
87,3986.914546914,3987.009804462,0.09525754800006325,received
88,3987.164633724,3987.318717973,0.1540842489998795,received
89,3987.414606925,3987.529746437,0.11513951200004158,received
90,3987.664571367,3987.77662229,0.11205092299996977,received
91,3987.914660038,3988.010919206,0.09625916799996048,received
92,3988.164668177,3988.30246883,0.1378006530003404,received
93,3988.414565154,3988.528263069,0.11369791500010251,received
94,3988.664660203,3988.778455242,0.11379503899979682,received
95,3988.914666718,3989.066669325,0.15200260700021317,received
96,3989.16468982,3989.330434629,0.1657448089999889,received
97,3989.414598353,3989.583182383,0.16858402999969258,received
98,3989.664589582,3989.780784122,0.11619453999992402,received
99,3989.914587234,3990.022978807,0.10839157300006264,received
100,3990.164592287,3990.345635557,0.181043270000373,received
101,3990.414654451,3990.517472945,0.10281849400007559,received
102,3990.664516235,3990.851413918,0.18689768300009746,received
103,3990.914585504,3991.009188001,0.09460249699986889,received
104,3991.164686735,3991.362376438,0.1976897029999236,received
105,3991.41457088,3991.537923959,0.1233530790000259,received
106,3991.664689939,3991.778693571,0.11400363200027641,received
107,3991.914684113,3992.036138058,0.12145394499975737,received
108,3992.164769524,3992.285597889,0.1208283650003068,received
109,3992.414753561,3992.534538921,0.11978536000015083,received
110,3992.664583898,3992.840292212,0.17570831400007592,received
111,3992.914588012,3993.0436645,0.1290764880000097,received
112,3993.164612067,3993.303906687,0.139294620000328,received
113,3993.414604176,3993.538885087,0.12428091099991434,received
114,3993.664587813,3993.78457224,0.11998442700041778,received
115,3993.914659836,3994.059532556,0.14487271999996665,received
116,3994.164650845,3994.295727134,0.13107628900024793,received
117,3994.414586063,3994.550040548,0.13545448500008206,received
118,3994.664696434,3994.798763627,0.13406719300019176,received
119,3994.914702906,3995.063415643,0.14871273700009624,received
120,3995.164703624,3995.300683354,0.13597972999968988,received
121,3995.414702378,3995.537286679,0.12258430099973339,received
122,3995.66464469,3995.791703201,0.12705851100008658,received
123,3995.914639545,3996.055887857,0.1412483119997887,received
124,3996.164671084,3996.299081253,0.13441016900014802,received
125,3996.414671144,3996.549063755,0.13439261100029398,received
126,3996.664732617,3996.797061217,0.13232860000016444,received
127,3996.914679401,3997.043330917,0.1286515159999908,received
128,3997.165154938,3997.294149872,0.12899493400027495,received
129,3997.414607621,3997.55864884,0.14404121899997335,received
130,3997.66463189,3997.819769799,0.1551379090001319,received
131,3997.91460008,3998.056699837,0.142099756999869,received
132,3998.164626161,3998.307048869,0.14242270800014012,received
133,3998.414624212,3998.549107876,0.13448366400007217,received
134,3998.664580298,3998.80762184,0.14304154199999175,received
135,3998.914593863,3999.085950639,0.1713567760002661,received
136,3999.164693028,3999.30197966,0.13728663200026858,received
137,3999.414604333,3999.54934873,0.13474439699984941,received
138,3999.664699887,3999.886628326,0.22192843899983927,received
139,3999.914689461,4000.10864281,0.19395334900036687,received
140,4000.164698489,4000.324435987,0.15973749800014048,received
141,4000.414592129,4000.558752845,0.1441607159999876,received
142,4000.664609146,4000.878715778,0.21410663199958435,received
143,4000.914643857,4001.035340531,0.12069667400010076,received
144,4001.16467367,4001.405730575,0.24105690499982302,received
145,4001.414597751,4001.637370599,0.2227728479997495,received
146,4001.664666369,4001.817440438,0.15277406900031565,received
147,4001.914667301,4002.06515345,0.1504861489997893,received
148,4002.164721796,4002.312626507,0.14790471100013747,received
149,4002.414712413,4002.586127083,0.1714146700001038,received
150,4002.66472295,4002.814845022,0.15012207200015837,received
151,4002.914632549,4003.064483966,0.14985141699980886,received
152,4003.164720961,4003.311763703,0.1470427419999396,received
153,4003.414636138,4003.576796469,0.1621603309999955,received
154,4003.664712076,4003.817168517,0.15245644100014033,received
155,4003.914681431,4004.046265576,0.13158414500003346,received
156,4004.164689587,4004.348426072,0.1837364850002814,received
157,4004.414691779,4004.562813381,0.14812160200017388,received
158,4004.664698914,4004.813890528,0.1491916139998466,received
159,4004.914706277,4005.072638437,0.15793216000020038,received
160,4005.164686118,4005.344267643,0.17958152499977587,received
161,4005.414728496,4005.597744233,0.18301573700000517,received
162,4005.664659046,4005.833691351,0.16903230500020072,received
163,4005.914747045,4006.095809089,0.1810620440001003,received
164,4006.164649567,4006.343366584,0.17871701699959885,received
165,4006.414638006,4006.645924678,0.2312866719998965,received
166,4006.664648153,4006.836035644,0.17138749099967754,received
167,4006.914622674,4007.080489172,0.16586649800001396,received
168,4007.164703993,4007.332035006,0.16733101299996633,received
169,4007.41469783,4007.594480389,0.17978255900015938,received
170,4007.664709247,4007.816991459,0.15228221200004555,received
171,4007.91461749,4008.099296111,0.18467862099987542,received
172,4008.164702989,4008.301128889,0.13642590000017663,received
173,4008.414641459,4008.625336008,0.21069454899998163,received
174,4008.664640653,4008.864689606,0.20004895300007774,received
175,4008.914609983,4009.140462444,0.22585246100015866,received
176,4009.164601878,4009.355138811,0.1905369329997484,received
177,4009.414608145,4009.551902472,0.13729432700029065,received
178,4009.664614447,4009.931454838,0.26684039099973234,received
179,4009.914887245,4010.173446631,0.25855938599988804,received
180,4010.164706696,4010.404887583,0.24018088699995133,received
181,4010.414744013,4010.726196983,0.3114529700001185,received
182,4010.664896105,4010.913964453,0.24906834800003708,received
183,4010.91534348,4011.111668963,0.19632548299978225,received
184,4011.16463905,4011.522417009,0.35777795900003184,received
185,4011.414699176,4011.714952857,0.3002536809999583,received
186,4011.664699418,4011.910162639,0.2454632210001364,received
187,4011.91445473,4012.137248073,0.22279334299992115,received
188,4012.16459168,4012.385705104,0.2211134240001229,received
189,4012.414703045,4012.699496035,0.2847929899999144,received
190,4012.664837042,4012.997583271,0.33274622900034956,received
191,4012.915182599,4013.276427544,0.3612449449997257,received
192,4013.164636022,4013.618891246,0.45425522400000773,received
193,4013.414645619,4013.862575104,0.4479294849998041,received
194,4013.664697956,4014.234289927,0.5695919710001363,received
195,4013.91465192,4014.352936929,0.43828500900008294,received
196,4014.164882405,4014.633103539,0.4682211340000322,received
197,4014.414677689,4014.799130254,0.38445256499971947,received
198,4014.664737981,4015.042864707,0.3781267259996639,received
199,4014.914621029,4015.246466967,0.33184593799978757,received
200,4015.164704533,4015.453744443,0.2890399099997012,received
201,4015.414716486,4015.704386349,0.2896698629997445,received
202,4015.664957915,4015.947585083,0.28262716800009,received
203,4015.914810895,4016.178143548,0.26333265300036146,received
204,4016.164678107,4016.409441379,0.24476327200000014,received
205,4016.414600981,4016.642422192,0.2278212109999913,received
206,4016.664660038,4016.865721737,0.20106169900009263,received
207,4016.914643481,4017.127432916,0.21278943500010428,received
208,4017.164721658,4017.383026392,0.21830473399995753,received
209,4017.414714128,4017.649974556,0.23526042799994684,received
210,4017.664727182,4017.869553545,0.20482636299993828,received
211,4017.914718092,4018.116708977,0.2019908850002139,received
212,4018.164688609,4018.404868004,0.24017939499981367,received
213,4018.414619808,4018.628164415,0.21354460699967603,received
214,4018.664761286,4018.874568038,0.20980675199962207,received
215,4018.914648003,4019.171310864,0.2566628610002226,received
216,4019.165294885,4019.42927272,0.2639778349998778,received
217,4019.414638069,4019.592740447,0.17810237799994866,received
218,4019.664666242,4019.839254291,0.17458804900024916,received
219,4019.914750148,4020.194050366,0.279300217999662,received
220,4020.164976803,4020.428322385,0.26334558199960156,received
221,4020.41480482,4020.765773273,0.3509684529999504,received
222,4020.665126628,4020.841980047,0.1768534190000537,received
223,4020.914748232,4021.139196311,0.2244480790000125,received
224,4021.164661449,4021.373237641,0.20857619199978217,received
225,4021.414650924,4021.676238725,0.26158780100013246,received
226,4021.664972148,4021.883370925,0.21839877699994759,received
227,4021.914634365,4022.13731077,0.2226764050001293,received
228,4022.164664185,4022.378070687,0.213406501999998,received
229,4022.414760364,4022.608437194,0.19367683000018587,received
230,4022.664753037,4022.901990253,0.23723721599981218,received
231,4022.914664471,4023.133082359,0.21841788800020367,received
232,4023.164752803,4023.388429022,0.22367621900002632,received
233,4023.41476325,4023.634558265,0.21979501500027254,received
234,4023.664758631,4023.923699954,0.2589413229998172,received
235,4023.914649885,4024.18916401,0.2745141249997687,received
236,4024.164603734,4024.434168666,0.26956493199986653,received
237,4024.414663057,4024.690177324,0.2755142670002897,received
238,4024.664735289,4024.93442914,0.269693850999829,received
239,4024.914742183,4025.164623811,0.24988162800036662,received
240,4025.165960521,4025.385461107,0.21950058599986733,received
241,4025.41474234,4025.640437629,0.22569528900021396,received
242,4025.664766659,4025.883961017,0.2191943579996405,received
243,4025.91475393,4026.131547822,0.2167938919997141,received
244,4026.164757802,4026.399287492,0.2345296899998175,received
245,4026.414736283,4026.659159538,0.24442325500012885,received
246,4026.664475326,4026.922273461,0.25779813500003,received
247,4026.91465681,4027.172349657,0.25769284699981654,received
248,4027.164880247,4027.43450978,0.26962953300017034,received
249,4027.41467249,4027.702355879,0.28768338899999435,received
250,4027.664678207,4027.94262326,0.27794505299971206,received
251,4027.914840972,4028.184681589,0.26984061699977246,received
252,4028.164587178,4028.425117898,0.2605307199996787,received
253,4028.414649263,4028.683966611,0.26931734800018603,received
254,4028.664814078,4028.935977746,0.2711636680000993,received
255,4028.914714123,4029.219298703,0.3045845799997551,received
256,4029.165186892,4029.442744145,0.27755725299994083,received
257,4029.414655332,4029.656370391,0.24171505899994372,received
258,4029.664644764,4029.840116228,0.17547146400011115,received
259,4029.914759138,4030.211669912,0.2969107740000254,received
260,4030.164771066,4030.473433164,0.3086620980002408,received
261,4030.415070107,4030.999541955,0.5844718480002484,received
262,4030.66486245,4031.145713925,0.48085147500023595,received
263,4030.914372496,4031.326408442,0.4120359459998326,received
264,4031.164660684,4031.705276465,0.5406157810002696,received
265,4031.414672658,4032.190122223,0.7754495649996898,received
266,4031.664660373,4032.586835299,0.9221749260000252,received
267,4031.914679395,4032.939783565,1.0251041700003043,received
268,4032.164680542,4033.154990742,0.9903101999998398,received
269,4032.414661224,4033.545555158,1.1308939339996869,received
270,4032.664698324,4033.879255655,1.2145573310003783,received
271,4032.914676388,4034.239173166,1.3244967780001389,received
272,4033.164786693,4034.609648348,1.4448616549998405,received
273,4033.414724943,4034.875053634,1.460328691000086,received
274,4033.664725837,4035.149663101,1.4849372640001093,received
275,4033.914708005,4035.477942991,1.5632349859997703,received
276,4034.164671674,4035.839546879,1.6748752049998075,received
277,4034.414680279,4036.005431172,1.5907508929999494,received
278,4034.664831923,4036.32874081,1.6639088870001615,received
279,4034.91469833,4036.569109063,1.6544107329996223,received
280,4035.164663595,4036.880615302,1.715951706999931,received
281,4035.414670553,4037.125990135,1.71131958199976,received
282,4035.664634699,4037.41238939,1.7477546909999546,received
283,4035.914705367,4037.696516251,1.7818108840001514,received
284,4036.164719836,4037.975789962,1.8110701259997768,received
285,4036.414679384,4038.25313553,1.8384561459997713,received
286,4036.664862053,4038.509516729,1.8446546760001183,received
287,4036.914765617,4038.746531851,1.8317662340000425,received
288,4037.164677677,4039.062462006,1.8977843289999328,received
289,4037.414358255,4039.39179426,1.9774360050000723,received
290,4037.664844704,4039.490844188,1.8259994840000218,received
291,4037.914851886,4039.801886184,1.8870342979998895,received
292,4038.164695233,4040.010561426,1.8458661929998925,received
293,4038.414671641,4040.212304294,1.7976326530001643,received
294,4038.664681907,4040.429707611,1.7650257039999815,received
295,4038.91483866,4040.570839608,1.656000947999928,received
296,4039.164816352,4041.045362872,1.88054652000028,received
297,4039.414703437,4041.180927175,1.7662237380000079,received
298,4039.664659556,4041.474093092,1.8094335360001423,received
299,4039.914657946,4041.799434923,1.8847769770000014,received
300,4040.164680687,4042.331620223,2.1669395359999726,received
301,4040.414799074,4042.765781881,2.3509828070000367,received
302,4040.664797582,4043.156517154,2.4917195719999654,received
303,4040.914772869,4043.717316453,2.8025435839999773,received
304,4041.164756339,4044.134851603,2.9700952639996103,received
305,4041.41480572,4044.471626074,3.0568203540001377,received
306,4041.664788416,4044.802182733,3.137394316999689,received
307,4041.914798744,4045.079730273,3.164931529000114,received
308,4042.164841254,4045.392155685,3.2273144310001953,received
309,4042.414680156,4045.711809311,3.297129154999766,received
310,4042.664796472,4046.028299573,3.3635031009998784,received
311,4042.914676231,4046.368097886,3.4534216550000565,received
312,4043.164704905,4046.708675777,3.5439708720000453,received
