# System Information
# OS                       : Linux
# OS Version               : #45~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Sep 11 15:25:05 UTC 2
# Architecture             : x86_64
# Python Version           : 3.10.12
# Processor                : x86_64
# Node Name                : simple_string_rtt
# Start Time               : 2024-09-27 11:26:46
#
# Computed Statistics
# Total Packets Sent       : 1001
# Packets Received         : 999
# Packets Lost             : 2
# Packet Loss Percentage   : 0.20%
# Average RTT              : 0.10827338 s
# Median RTT               : 0.08499733 s
# RTT Range                : 0.34195113 s
# Standard Deviation of RTT: 0.07584835 s
# Variance of RTT          : 0.00575297 s
# Packets Under Threshold  : 18
# Packets Over Threshold   : 981
# Threshold RTT            : 0.02 s
# Test Duration            : -1 day, 23:59:59
#
# Run latency_plotter.py to compute statistics
#
message_id,send_time,receive_time,rtt,status
1,2471.452225016,2471.545435634,0.09321061800028474,received
2,2471.70217155,2471.749569287,0.04739773700021033,received
3,2471.952200539,2472.269366085,0.3171655460000693,received
4,2472.202189027,2472.377488214,0.17529918700029157,received
5,2472.452190399,2472.502050538,0.04986013899997488,received
6,2472.702138065,2472.77695625,0.07481818499991277,received
7,2472.952198844,2473.187656922,0.23545807799973772,received
8,2473.202158024,2473.320650692,0.1184926680002718,received
9,2473.45217649,2473.473669889,0.021493399000064528,received
10,2473.702143548,2473.739290994,0.03714744599983533,received
11,2473.952180564,2474.017286143,0.06510557899991909,received
12,2474.202224335,2474.304266175,0.10204183999985617,received
13,2474.452174908,2474.50539733,0.053222422000089864,received
14,2474.702196821,2474.917591913,0.21539509199965323,received
15,2474.952178477,2475.034738343,0.08255986599988319,received
16,2475.202160368,2475.437661785,0.23550141699979577,received
17,2475.45200907,2475.574523362,0.12251429200023267,received
18,2475.702115028,2475.723339923,0.021224894999704702,received
19,2475.952161926,2476.042437242,0.09027531599986105,received
20,2476.202174058,2476.24885298,0.04667892199995549,received
21,2476.452160906,2476.556737606,0.10457670000005237,received
22,2476.702150298,2476.738429586,0.03627928800005975,received
23,2476.952155954,2477.172662138,0.22050618399998712,received
24,2477.202167767,2477.320841785,0.11867401800009247,received
25,2477.452174056,2477.474226023,0.022051967000152217,received
26,2477.70215993,2478.001896432,0.29973650200008706,received
27,2477.952171861,2478.103309782,0.1511379210000996,received
28,2478.202188609,2478.222918724,0.020730114999878424,received
29,2478.452172232,2478.502454119,0.05028188699998282,received
30,2478.702126503,2478.724978945,0.022852442000385054,received
31,2478.952163755,2479.017740773,0.06557701799965798,received
32,2479.202167999,2479.237044811,0.034876812000220525,received
33,2479.452171895,2479.529273897,0.07710200200017425,received
34,2479.703578299,2479.727653768,0.02407546899985391,received
35,2479.952156484,2480.045400256,0.09324377199982337,received
36,2480.202157281,2480.225693388,0.023536106999927142,received
37,2480.452152151,2480.545704165,0.09355201400012447,received
38,2480.702153669,2480.737691938,0.03553826899997148,received
39,2480.95216375,2481.174804258,0.22264050800004043,received
40,2481.202159735,2481.32012854,0.11796880500014595,received
41,2481.452168124,2481.473839636,0.021671512000011717,received
42,2481.702159267,2481.892240149,0.19008088200007478,received
43,2481.952197146,2482.307971858,0.3557747120003114,received
44,2482.202169125,2482.342462747,0.1402936219997173,received
45,2482.45217925,2482.500549308,0.04837005799981853,received
46,2482.702153064,2482.91664208,0.21448901600024328,received
